id,land_id,case_details,status
1,L001,Ownership issue resolved (Court: High Court),closed
2,L002,Ownership issue resolved (Court: High Court),closed
3,L003,Ownership issue resolved (Court: High Court),closed
4,L004,Boundary dispute ongoing (Court: District Court),ongoing
5,L005,Boundary dispute ongoing (Court: District Court),ongoing
6,L007,Boundary dispute ongoing (Court: District Court),ongoing
7,L009,Boundary dispute ongoing (Court: District Court),ongoing
8,L010,Boundary dispute ongoing (Court: District Court),ongoing
9,L011,Boundary dispute ongoing (Court: District Court),ongoing
10,L014,Boundary dispute ongoing (Court: District Court),ongoing
11,L017,Ownership issue resolved (Court: High Court),closed
12,L021,Ownership issue resolved (Court: High Court),closed
13,L022,Ownership issue resolved (Court: High Court),closed
14,L023,Ownership issue resolved (Court: High Court),closed
15,L025,Boundary dispute ongoing (Court: District Court),ongoing
16,L026,Ownership issue resolved (Court: High Court),closed
17,L027,Ownership issue resolved (Court: High Court),closed
18,L028,Ownership issue resolved (Court: High Court),closed
19,L029,Ownership issue resolved (Court: High Court),closed
20,L030,Boundary dispute ongoing (Court: District Court),ongoing
21,L035,Boundary dispute ongoing (Court: District Court),ongoing
22,L038,Ownership issue resolved (Court: High Court),closed
23,L040,Boundary dispute ongoing (Court: District Court),ongoing
24,L041,Ownership issue resolved (Court: High Court),closed
25,L043,Boundary dispute ongoing (Court: District Court),ongoing
26,L048,Ownership issue resolved (Court: High Court),closed
27,L049,Ownership issue resolved (Court: High Court),closed
28,L050,Ownership issue resolved (Court: High Court),closed
29,L051,Ownership issue resolved (Court: High Court),closed
30,L052,Boundary dispute ongoing (Court: District Court),ongoing
31,L053,Boundary dispute ongoing (Court: District Court),ongoing
32,L055,Boundary dispute ongoing (Court: District Court),ongoing
33,L056,Ownership issue resolved (Court: High Court),closed
34,L058,Boundary dispute ongoing (Court: District Court),ongoing
35,L059,Ownership issue resolved (Court: High Court),closed
36,L060,Ownership issue resolved (Court: High Court),closed
37,L061,Boundary dispute ongoing (Court: District Court),ongoing
38,L062,Boundary dispute ongoing (Court: District Court),ongoing
39,L065,Boundary dispute ongoing (Court: District Court),ongoing
40,L067,Boundary dispute ongoing (Court: District Court),ongoing
41,L069,Boundary dispute ongoing (Court: District Court),ongoing
42,L070,Ownership issue resolved (Court: High Court),closed
43,L071,Boundary dispute ongoing (Court: District Court),ongoing
44,L072,Ownership issue resolved (Court: High Court),closed
45,L073,Ownership issue resolved (Court: High Court),closed
46,L074,Boundary dispute ongoing (Court: District Court),ongoing
47,L076,Boundary dispute ongoing (Court: District Court),ongoing
48,L077,Ownership issue resolved (Court: High Court),closed
49,L078,Boundary dispute ongoing (Court: District Court),ongoing
50,L081,Boundary dispute ongoing (Court: District Court),ongoing
51,L082,Ownership issue resolved (Court: High Court),closed
52,L083,Boundary dispute ongoing (Court: District Court),ongoing
53,L084,Ownership issue resolved (Court: High Court),closed
54,L085,Ownership issue resolved (Court: High Court),closed
55,L086,Ownership issue resolved (Court: High Court),closed
56,L087,Boundary dispute ongoing (Court: District Court),ongoing
57,L089,Ownership issue resolved (Court: High Court),closed
58,L090,Ownership issue resolved (Court: High Court),closed
59,L093,Ownership issue resolved (Court: High Court),closed
60,L095,Ownership issue resolved (Court: High Court),closed
61,L096,Ownership issue resolved (Court: High Court),closed
62,L097,Ownership issue resolved (Court: High Court),closed
63,L098,Ownership issue resolved (Court: High Court),closed
